LineItem,LineItem,Difference_Year1
Construction in Progress,Construction in Progress,15083
Land and Buildings,Land and Buildings,13311
Leased Assets,Leased Assets,31514
Minority Interest,Minority Interest,8872
Ordinary Shares,Ordinary Shares,117
Other Fixed Assets,Other Fixed Assets,18357
"Property, Plant and Equipment","Property, Plant and Equipment",48666
Stock - Finished Goods,Stock - Finished Goods,-52593
Stock - Raw Materials,Stock - Raw Materials,49624
Stock - Work in Progress,Stock - Work in Progress,2969
Total Capital and Reserves and Surplus,Total Capital and Reserves and Surplus,8989
